[2026-02-27 20:13:57] [INFO    ] discord.client: logging in using static token
[2026-02-27 20:13:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-27 20:13:58] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-27 20:13:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1476909232682176623', 'username': 'Gardendless Plant Randomer', 'avatar': '68ba899fc00dfe5100de7d4c36e16035', 'discriminator': '2548', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-27 20:13:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-27 20:13:58] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-27 20:13:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1476909232682176623', 'name': 'Gardendless Plant Randomer', 'icon': '68ba899fc00dfe5100de7d4c36e16035', 'description': '', 'type': None, 'bot': {'id': '1476909232682176623', 'username': 'Gardendless Plant Randomer', 'avatar': '68ba899fc00dfe5100de7d4c36e16035', 'discriminator': '2548', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '331c8d4195bd25856af25b1e9ff45f8ff51f2ca843d185b5ca740afc2176c309', 'flags': 8945664, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '859878747439497257', 'username': 'hinanarukami', 'avatar': 'ba01b3321a3f1a254e8835f545417815', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 15708397, 'global_name': 'Hina Narukami', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#efb0ed', 'clan': {'identity_guild_id': '638039933457793025', 'identity_enabled': True, 'tag': 'PVZ', 'badge': 'd261f3783a1a045ab52d26745de32aa9'}, 'primary_guild': {'identity_guild_id': '638039933457793025', 'identity_enabled': True, 'tag': 'PVZ', 'badge': 'd261f3783a1a045ab52d26745de32aa9'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-27 20:13:58] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1476909232682176623/commands with [{"name":"randomplants","description":"Randomize a plant list from PvZ2.","type":1,"options":[{"type":4,"name":"plant_count","description":"Number of plants to randomize","required":true},{"type":5,"name":"forced_sun","description":"First plant will be a sun producer","required":false},{"type":5,"name":"only_obtainable","description":"Only select obtainable plants","required":false},{"type":5,"name":"no_mint","description":"Exclude all mints","required":false},{"type":5,"name":"world_only","description":"Only select from world plants","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"randomplants_nosun","description":"Randomize plants (excluding sun plants).","type":1,"options":[{"type":4,"name":"plant_count","description":"Number of plants to randomize","required":true},{"type":5,"name":"only_obtainable","description":"Only select obtainable plants","required":false},{"type":5,"name":"no_mint","description":"Exclude all mints","required":false},{"type":5,"name":"world_only","description":"Only select from world plants","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"help","description":"Display usage guide for Gardendless Plant Randomer.","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-02-27 20:13:58] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-02-27 20:13:58] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1476909232682176623/commands has received [{'id': '1476929478868598814', 'application_id': '1476909232682176623', 'version': '1476930362822365224', 'default_member_permissions': None, 'type': 1, 'name': 'randomplants', 'name_localizations': None, 'description': 'Randomize a plant list from PvZ2.', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 4, 'name': 'plant_count', 'name_localizations': None, 'description': 'Number of plants to randomize', 'description_localizations': None, 'required': True}, {'type': 5, 'name': 'forced_sun', 'name_localizations': None, 'description': 'First plant will be a sun producer', 'description_localizations': None}, {'type': 5, 'name': 'only_obtainable', 'name_localizations': None, 'description': 'Only select obtainable plants', 'description_localizations': None}, {'type': 5, 'name': 'no_mint', 'name_localizations': None, 'description': 'Exclude all mints', 'description_localizations': None}, {'type': 5, 'name': 'world_only', 'name_localizations': None, 'description': 'Only select from world plants', 'description_localizations': None}], 'nsfw': False}, {'id': '1476929478868598815', 'application_id': '1476909232682176623', 'version': '1476930362822365225', 'default_member_permissions': None, 'type': 1, 'name': 'randomplants_nosun', 'name_localizations': None, 'description': 'Randomize plants (excluding sun plants).', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 4, 'name': 'plant_count', 'name_localizations': None, 'description': 'Number of plants to randomize', 'description_localizations': None, 'required': True}, {'type': 5, 'name': 'only_obtainable', 'name_localizations': None, 'description': 'Only select obtainable plants', 'description_localizations': None}, {'type': 5, 'name': 'no_mint', 'name_localizations': None, 'description': 'Exclude all mints', 'description_localizations': None}, {'type': 5, 'name': 'world_only', 'name_localizations': None, 'description': 'Only select from world plants', 'description_localizations': None}], 'nsfw': False}, {'id': '1476929478868598816', 'application_id': '1476909232682176623', 'version': '1476930362822365226', 'default_member_permissions': None, 'type': 1, 'name': 'help', 'name_localizations': None, 'description': 'Display usage guide for Gardendless Plant Randomer.', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
[2026-02-27 20:13:59] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
